id,city,name_en,name_ko,category,mealSlot,styles,travelerTypes,lat,lng,duration_min,duration_typical,duration_max,priority,area,openHours_open,openHours_close,closedDays,description_en,description_ko,tips_en,tips_ko,photos,postSlug,googleMapsUrl,costAmount,costCurrency,tags,chain,booking_klook,booking_agoda,booking_mrt,booking_direct
tokyo-ikebukuro-sunshine-city,tokyo,Sunshine City,선샤인시티,sight,,activity|photo|budget|shopping|local|popular,solo|couple|friends|kids,35.7312663,139.7137806,60,90,150,2,ikebukuro,10:00,20:00,,"Ikebukuro complex packing a Pokémon Center, aquarium, and observatory into one building.","내부에 포켓몬 센터가 있고, 아쿠아리움과 전망대까지 모두 볼 수 있는 이케부쿠로 명소","Book the observatory and aquarium on Klook ahead of time|If you have time, pair with Chiikawa Park nearby",전망대와 아쿠아리움 티켓은 미리 클룩에서 구매 추천|가는 길에 치이카와 파크도 시간 되면 들러보기,,,"https://www.google.com/maps/place/@35.7312663,139.7137806,16.59z/data=!4m6!3m5!1s0x60188d6f134fd653:0x51eb1d42c77222c2!8m2!3d35.7289709!4d139.7195415!16zL20vMGRzM3lj?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",2000,JPY,,,https://www.klook.com/activity/14533-sky-circus-sunshine-sixty-observatory-experience-tokyo/?aid=118462,,,
tokyo-ikebukuro-animate,tokyo,Animate Ikebukuro,애니메이트,shopping,lunch,budget|shopping|local,solo|couple|friends|kids,35.7292022,139.7133729,30,45,60,3,ikebukuro,10:00,21:00,,A whole building of manga and anime merch.,만화와 애니메이션 관련 굿즈와 상품들을 한눈에 볼 수 있는 건물,,,,,"https://www.google.com/maps/place/%EC%95%A0%EB%8B%88%EB%A9%94%EC%9D%B4%ED%8A%B8+%EC%9D%B4%EC%BC%80%EB%B6%80%EC%BF%A0%EB%A1%9C%EB%B3%B8%EC%A0%90/@35.7292022,139.7133729,17z/data=!3m1!5s0x60188d6f1705cd87:0x5fb9b0e67c243e4!4m6!3m5!1s0x60188d6f4361458b:0x503df2e68ddac61a!8m2!3d35.7311443!4d139.7154592!16s%2Fg%2F1tf70y9x?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",0,JPY,,,,,,
tokyo-ikebukuro-mutakiya,tokyo,Mutekiya Ramen,무테키야,food,lunch,food|budget|local|popular,solo|couple|friends|kids,35.7292022,139.7133729,30,45,60,2,ikebukuro,10:30,4:00,,Ikebukuro's go-to ramen shop — the thick-cut chashu is the reason.,두툼하게 썬 차슈가 들어가는 이케부쿠로 대표 라멘 맛집,The foreign-language menu is marked up — order off the Japanese one|Skip peak hours and aim for 15:00-16:00,외국어 메뉴판이 더 비싸니 일본어 메뉴판으로 주문|메인 식사 시간대 피해서 오후 3~4시 방문 추천,,,"https://www.google.com/maps/place/%EB%AC%B4%ED%85%8C%ED%82%A4%EC%95%BC/@35.7292022,139.7133729,17z/data=!3m1!5s0x60188d68274d3f27:0xfdca62b758dfd24!4m6!3m5!1s0x60188d682708f977:0x829333b0d73eb2cd!8m2!3d35.7269046!4d139.7116557!16s%2Fg%2F11b72mlbrk?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",1500,JPY,,,,,,
tokyo-ikebukuro-junku-bookstore,tokyo,Junkudo Bookstore,준쿠도서점,sight,,shopping|local,solo|couple|friends|parents,35.7292022,139.7133729,30,45,60,3,ikebukuro,10:00,22:00,,A whole building of books — worth a wander if that's your thing.,일본의 대형 서점 문화가 궁금하면 한 번쯤 가볼만한 가치가 있는 곳,Clean restrooms and every genre — a decent break stop,"화장실도 깨끗하고, 여러 장르의 책을 다 볼 수 있음",,,"https://www.google.com/maps/place/%EC%A4%80%EC%BF%A0%EB%8F%84%EC%84%9C%EC%A0%90+%EC%9D%B4%EC%BC%80%EB%B6%80%EC%BF%A0%EB%A1%9C+%EB%B3%B8%EC%A0%90/@35.7292022,139.7133729,17z/data=!3m1!5s0x60188d6830f8d211:0x3d501361bbef99c4!4m6!3m5!1s0x60188d6830033bfb:0x95a8ebaa5d4ac31d!8m2!3d35.72684!4d139.712244!16s%2Fg%2F1tj89f2p?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",0,JPY,,junkudo,,,,
tokyo-ikebukuro-seibu-departmentstore,tokyo,Seibu Department Store,세이부백화점,shopping,,shopping|local,solo|couple|friends,35.7312663,139.7137806,30,60,90,4,ikebukuro,10:00,20:00,,Seibu's Ikebukuro department store — one of Japan's big retail names.,일본 대표 브랜드 중 하나인 세이부에서 만든 백화점,Less crowded than most Tokyo department stores|Bring your passport for the tax-free counter,다른 도쿄 백화점에 비해 여유로운 편|외국인은 여권 지참시 면세 혜택도 받을 수 있음,,,"https://www.google.com/maps/place/%EC%84%B8%EC%9D%B4%EB%B6%80%EB%B0%B1%ED%99%94%EC%A0%90+%EC%9D%B4%EC%BC%80%EB%B6%80%EC%BF%A0%EB%A1%9C+%EB%B3%B8%EC%A0%90/@35.7312663,139.7137806,16z/data=!3m1!5s0x60188d678b3c0589:0x284357a67c387abe!4m14!1m7!3m6!1s0x60188d6f134fd653:0x51eb1d42c77222c2!2z7ISg7IOk7J247Iuc7Yuw!8m2!3d35.7289709!4d139.7195415!16zL20vMGRzM3lj!3m5!1s0x60188d67fef93b19:0xcd9ac1373273ee1e!8m2!3d35.7287031!4d139.7118073!16s%2Fg%2F11b7cmjhhv?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",0,JPY,,,,,,
tokyo-ikebukuro-ciwicawa-park,tokyo,Chiikawa Park,치이카와 파크,experience,,activity|photo|culture|shopping|local|popular,couple|friends|kids,35.7312663,139.7137806,60,90,120,3,ikebukuro,10:00,21:00,,Interactive exhibit where you can meet the Chiikawa characters hands-on.,"치이카와 캐릭터들을 만지고, 교감할 수 있는 인터랙티브 전시 공간",Timed slots sell out — buy on Klook for a specific window|Student discount with a valid ID,현장 매진이 많으니 입장권은 미리 클룩에서 시간대별로 구매 필요|학생은 학생증 있으면 할인 가능,,,"https://www.google.com/maps/place/@35.7312663,139.7137806,16z/data=!4m14!1m7!3m6!1s0x60188d6f134fd653:0x51eb1d42c77222c2!2z7ISg7IOk7J247Iuc7Yuw!8m2!3d35.7289709!4d139.7195415!16zL20vMGRzM3lj!3m5!1s0x60188d006f3d976b:0xc471e5c44aa64c5a!8m2!3d35.7298877!4d139.7173039!16s%2Fg%2F11ydqt0hl4?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",3500,JPY,,,https://www.klook.com/activity/171099-chiikawa-park/?aid=118462,,,
tokyo-ikebukuro-motomura-kyuaksu,tokyo,Gyukatsu Motomura Ikebukuro,규카츠 모토무라 이케부쿠로점,food,dinner,activity|food|photo|culture|nature|shopping|local|popular,solo|couple|friends|parents|kids,35.7281898,139.7132371,45,60,75,3,ikebukuro,11:00,22:00,,Ikebukuro branch of Gyukatsu Motomura — the gyukatsu chain you see all over Japan.,일본 전역에서 유명한 규카츠 모토무라의 이케부쿠로 지점,Free rice refills — finish the meal as ochazuke|Expect a queue at most hours,"밥 리필도 가능하고, 오차즈케도 만들어 먹을 수 있음|보통 대부분의 시간대에 웨이팅 있음",,,"https://www.google.com/maps/place/%EA%B7%9C%EC%B9%B4%EC%B8%A0+%EB%AA%A8%ED%86%A0%EB%AC%B4%EB%9D%BC+%EC%9D%B4%EC%BC%80%EB%B6%80%EC%BF%A0%EB%A1%9C%EC%A0%90/@35.7281898,139.7132371,17.21z/data=!3m1!5s0x60188d682933d227:0x660157cd61439851!4m6!3m5!1s0x60188d682dbbb4f7:0xa96ea78d1ec02a40!8m2!3d35.7265638!4d139.7119006!16s%2Fg%2F11g8cr2xzy?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",2500,JPY,,,,,,
tokyo-ikebukuro-iroha,tokyo,Gyukatsu Iroha,규카츠 이로하,food,dinner,activity|food|photo|culture|nature|shopping|local|popular,solo|couple|friends|parents|kids,35.7292022,139.7133729,45,60,75,3,ikebukuro,11:00,22:00,,Ikebukuro gyukatsu spot with a near-constant queue.,웨이팅 항상 있는 이케부쿠로 규카츠 맛집,Drink sets cheaper than the competing chains,드링크 세트가 다른 곳에 비해 저렴한 편,,,"https://www.google.com/maps/place/%EA%B7%9C%EC%B9%B4%EC%B8%A0+%EC%9D%B4%EB%A1%9C%ED%95%98/@35.7292022,139.7133729,17z/data=!3m1!5s0x60188d6652779049:0x12025a14d221114e!4m6!3m5!1s0x60188d6669e322b9:0x5184c453c1695e16!8m2!3d35.7311781!4d139.7143173!16s%2Fg%2F11b75qmgxy?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",3000,JPY,,,,,,
tokyo-ikebukuro-photin,tokyo,Pho Thin Tokyo,퍼 틴 도쿄,food,lunch,activity|food|photo|culture|nature|shopping|local|popular,solo|couple|friends|parents|kids,35.7292022,139.7133729,45,60,75,3,ikebukuro,11:00,21:00,,Vietnamese pho — a break from the Japanese food.,일본 음식이 질려 베트남 음식 먹을 때 가기 좋은 곳,Pick size and cilantro-yes/no when ordering,"사이즈, 고수 유무도 미리 선택 가능",,,"https://www.google.com/maps/place/%ED%8D%BC+%ED%8B%B4+%EB%8F%84%EC%BF%84/@35.7292022,139.7133729,17z/data=!3m1!5s0x60188d68833bb9e1:0x1459a0151a897cf0!4m6!3m5!1s0x60188da5fe7e3d7f:0xf20a15c8046bc55e!8m2!3d35.7294032!4d139.7146096!16s%2Fg%2F11fk1dkp68?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",1000,JPY,,,,,,
tokyo-ikebukuro-yakiniku-hormon-hutago,tokyo,Osaka Yakiniku Hormone Futago Ikebukuro,오사카 야키니쿠・호르몬 후타고 이케부쿠로,food,dinner,activity|food|photo|culture|nature|shopping|local|popular,solo|couple|friends|parents|kids,35.7305561,139.7122864,60,90,120,3,ikebukuro,17:00,0:00,,Easygoing yakiniku — the staff do the grilling.,종업원이 직접 구워주는 편안한 야키니쿠 맛집,,,,,"https://www.google.com/maps/place/%EC%98%A4%EC%82%AC%EC%B9%B4+%EC%95%BC%ED%82%A4%EB%8B%88%EC%BF%A0%E3%83%BB%ED%98%B8%EB%A5%B4%EB%AA%AC+%ED%9B%84%ED%83%80%EA%B3%A0+%EC%9D%B4%EC%BC%80%EB%B6%80%EC%BF%A0%EB%A1%9C+%EC%84%9C%EC%AA%BD+%EC%B6%9C%EA%B5%AC/@35.7305561,139.7122864,17.72z/data=!4m6!3m5!1s0x60188d5def19eb91:0xff7c4a3dbb1f57cb!8m2!3d35.7319349!4d139.7106326!16s%2Fg%2F11cs1sgl5y?entry=ttu&g_ep=EgoyMDI2MDQxNS4wIKXMDSoASAFQAw%3D%3D",4000,JPY,,,,,,
